WorkerID,AssignmentID,Prompt1.0,Prompt2.0,Prompt3.0,Prompt4.0,Prompt5.0,Prompt6.0,Prompt7.0,Prompt8.0,Prompt9.0,Prompt10.0,Median,Size
A3GNQDFPZALU92,"['3KWTYT08703N22L5316ZTUEU7XUL55', '358010RM5ETZ0QH9NBR08M3GRU4VX6', '3IQ1VMJRYTKP76WD90UQWW3LZGY9AK', '3XLBSAQ9Z4CMUVGS6VC5ZT3ODBJ7Z9', '3B1NLC6UGZWB9KPNCPIXE8E32GBGPI', '3RGU30DZTA8FFJIBSFB8UHCOP3FJMR', '3QAPZX2QN4DI69DWWPIIX3JUKPV20F', '3DBQWDE4Y6YDQ2OQFEME6MIJCSY5NV']",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8
A1171IQSWQS0K8,['3K9FOBBF2HJRSRRB712LNBEGYIVNLY'],2,3,3,2,3,2,3,3,3,3,3.0,1
AJKA9BKC011F2,['3ZY8KE4ISJ3FRTGX1XW8EE7NURRVQJ'],2,2,5,5,2,2,4,2,2,2,2.0,1
A2QDKCYDLIBBA9,['39ASUFLU6X7IYFVNSL2Q8IFURYRXEQ'],5,5,5,5,5,5,5,5,5,5,5.0,1
A2CK8S4CH1HPBE,"['3M0BCWMB8VW52CED8P4E5RV2FZVBWY', '3R5F3LQFV2KTF18RNHT7AFPJ30XZOV', '3NS0A6KXC485NORTZYGZ56GHCFKGZ5']",2,2,2,2,2,2,2,2,2,2,2.0,3
A1AQHN3E11IE,"['3WYGZ5XF3WFDOY1YUX7675B7WGJSKV', '3RJSC4XJ10UA56WJE8KGVAM64YA505', '34Q075JO1XDBHOV0DLI4SK9PSJI01X', '3A4NIXBJ76ZLA96BV0NLAWPGTSMLMX']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4
A8PMQPVGA1CY0,['3II4UPYCOJ7TXCGBACWE8S1GUKFQD7'],5,5,5,5,5,5,5,5,5,5,5.0,1
AJ7MWBQFNH3E4,['36H9ULYP62U999QU6S7VZRSFS29JFQ'],2,3,2,2,2,2,2,2,2,2,2.0,1
A1W23FOSVTQ05N,['3HOSI13XHZOZ83C65QQU8TUHB4UDDR'],5,5,5,5,5,5,5,5,5,5,5.0,1
A2WVY1WO8EBV8V,['37XITHEISW9J4LPXNVQ3TCT355WRCY'],2,2,2,2,2,2,2,2,2,2,2.0,1
A20I3A6VWC2T5C,"['3NPFYT4IZC4GITREYGSE8L064FRGXD', '35USIKEBNRG996O4KXWJYSWJ8NF6NI']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A1OE73CB8R10E3,['3D4CH1LGEATQHX9GV0M0SIEOXB49GP'],2,3,5,3,2,2,2,2,2,2,2.0,1
A223BBAD3U6QFR,['3R3YRB5GRF3NRYKG7BPHSSQZC18UAW'],2,5,2,4,3,3,4,2,3,5,3.0,1
A3EEUYT1FKGPDS,['3IRIK4HM3AKQI2RDV7N5IH279IDC6G'],2,5,3,5,5,4,5,3,3,3,3.5,1
A2NAEVPGIJGUVA,['3FTF2T8WLRIMEJZGA5QIEL0CRZC9W6'],5,5,5,5,5,5,5,5,5,5,5.0,1
A1HNR6OIRFCEHS,"['3DY4FPOOA1OF3UVXECL8J4HSQDNVRE', '3GGAI1SQEVYS75C5INUM7DZTZJ6MCG']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A3EH1JUWKKJDLE,"['3IXQG4FA2TYUQG15FEUMR7NRHYNB9L', '3E1QT0TDFP94ZJW1GWGPDYWTSIB8IO']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A249LDVPG27XCE,"['3I3WADAZ9Q4V8NO2GTMRLBIO223O5T', '3N2BF7Y2VQUJODNL4F8NI4W9CBHHMQ']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A2UFSBK8N8FY2Q,['39LOEL67OS5P9GEIVT929SU490V835'],5,3,2,4,3,3,3,3,3,3,3.0,1
A1OF6YSZFJCQUK,['3Q5ZZ9ZEVOFSNV1M9CXVOPSONW0586'],3,2,2,4,3,3,3,4,4,3,3.0,1
A394JO4NEPCY3M,['3C6FJU71TQTONGIJNH3XVE86FSCUY7'],2,2,2,2,2,2,2,2,2,2,2.0,1
A21IRVVFQ1SJ4I,['323Q6SJS8IGDI3V4IS4ANEC0F9UHF6'],5,5,5,5,5,5,5,5,5,5,5.0,1
