HITID,convo_1,convo_2,convo_3,convo_4,convo_5,convo_6,convo_7,convo_8,convo_9,convo_10
30Z7M1Q8UYKN7HGAE6JB8GCLRGB8A1,"['<b>A:</b> I love playing all of these old fashioned games!', ""<b>B:</b> Me, too! Too bad it's so expensive.""]","['<b>A:</b> Do you ever take public transportation to get around?', '<b>B:</b> Before I frequently did. Not so much anymore. Why do you ask?']","['<b>A:</b> What are we having for lunch?', ""<b>B:</b> I'm making some sandwiches.""]","['<b>A:</b> Beer is a powerful drug.', '<b>B:</b> So are cigarettes.']","[""<b>A:</b> I don't like seeing so many police officers patrolling."", ""<b>B:</b> They're just trying to keep the city safe.""]","['<b>A:</b> When are we going to stop?', ""<b>B:</b> We'll stop at the next McDonald's.""]","[""<b>A:</b> Hi! Is there a specific car you're looking for?"", ""<b>B:</b> I'm looking for a convertible.""]","['<b>A:</b> May I have a table for three?', '<b>B:</b> Of course. Here is your number.']","['<b>A:</b> I found a new social networking site.', ""<b>B:</b> That's cool. What's it called?""]","['<b>A:</b> I gained so much weight because my college dining hall is all-you-can-eat.', '<b>B:</b> It\'s called the ""freshman 15.""']"
3D4BBDG7ZHWPZZ72M3K6NUUYBX43C6,"['<b>A:</b> Is there a gym in this hotel?', '<b>B:</b> Yes, the fitness center is located on the third floor.']","['<b>A:</b> Have you ever been to that popular hot dog stand?', '<b>B:</b> No, I have not.']","['<b>A:</b> Excuse me! I need a ticket.', '<b>B:</b> You owe me a dollar.']","['<b>A:</b> I love to watch ""Judge Judy.""', '<b>B:</b> Is that a TV show?']","['<b>A:</b> Wow! Our order is sure taking long.', ""<b>B:</b> Yes, it is. It's been nearly 45 minutes now.""]","['<b>A:</b> Is this table okay?', ""<b>B:</b> No, it's too close to the kitchen door.""]","['<b>A:</b> What are some of the best things to see in this city?', '<b>B:</b> If you want to go sightseeing, we have a tour that leaves from the hotel.']","[""<b>A:</b> I don't know what to give my dad for Father's Day."", ""<b>B:</b> Why don't you give him a card?""]","['<b>A:</b> I want to buy my son a skateboard.', ""<b>B:</b> Do you know what kind of board he'd like?""]","['<b>A:</b> Do you like my new bicycle?', '<b>B:</b> It looks very sporty!']"
38F60IALAGHA4OAGP2XDA6WVW7JT0J,"['<b>A:</b> Do you get PBS on TV?', '<b>B:</b> Yes, everybody gets the Public Broadcasting System.']","['<b>A:</b> Excuse me, where can I find a dictionary?', '<b>B:</b> What kind of dictionary would you like?']","['<b>A:</b> Today is Friday the thirteenth.', ""<b>B:</b> That's a bad day.""]","['<b>A:</b> Are you sure you want to go to Seattle?', '<b>B:</b> Yes, I am sure.']","['<b>A:</b> I have a date with Mary tomorrow.', ""<b>B:</b> Don't you have a date with Dorothy?""]","[""<b>A:</b> I'm going to take a nap."", '<b>B:</b> You should unplug the phone.']","['<b>A:</b> I have a really bad headache. What do you recommend?', '<b>B:</b> You can purchase some over-the-counter pain relievers in aisle 6.']","['<b>A:</b> Come inside my apartment! Make yourself feel at home.', '<b>B:</b> Thank you for letting me visit you today.']","['<b>A:</b> Hello, this is my first time here. I could use some help.', '<b>B:</b> Okay, I can help. What is it you want to do?']","['<b>A:</b> I missed my connecting flight to Washington D.C.', '<b>B:</b> How did you miss your flight?']"
35U0MRQMUJ7AKX6OWIZ31PGYRVFVOR,"['<b>A:</b> Did you see the police posters in the neighborhood?', ""<b>B:</b> I haven't seen them. What do they say?""]","[""<b>A:</b> I'll pay the restaurant bill."", ""<b>B:</b> No, I'll pay.""]","[""<b>A:</b> What is that black goo you're carrying?"", ""<b>B:</b> It's roofing tar.""]","['<b>A:</b> Do any public buses run nearby?', '<b>B:</b> Yes, in fact many buses do.']","[""<b>A:</b> I'd like to buy some flowers for my best friend's birthday."", ""<b>B:</b> What is your friend's favorite color?""]","[""<b>A:</b> I'm worried."", '<b>B:</b> Worried about what?']","[""<b>A:</b> Mom, I'm hungry."", '<b>B:</b> Look in the fridge.']","['<b>A:</b> The floor to my apartment is badly damaged.', ""<b>B:</b> I'm sorry to hear that. How bad is it?""]","[""<b>A:</b> I can't read my book."", '<b>B:</b> Turn on the light.']","['<b>A:</b> Did you finish the math project?', '<b>B:</b> I have not started.']"
33QQ60S6ASIP41P5P7NNF2IXFLR0UI,"['<b>A:</b> You have not driven in a month.', '<b>B:</b> I just like staying at home these days.']","['<b>A:</b> Did you fasten your seatbelt?', '<b>B:</b> It bothers my neck.']","['<b>A:</b> That was such a rush.', '<b>B:</b> What did you do?']","['<b>A:</b> I am going to get the meatloaf.', '<b>B:</b> Get anything but the meatloaf.']","['<b>A:</b> Hello, how can I help you?', ""<b>B:</b> I'm calling about your delivery service.""]","['<b>A:</b> My ear is killing me.', ""<b>B:</b> What's the matter?""]","[""<b>A:</b> I'd like to make a withdrawal."", '<b>B:</b> Will that be from your checking or savings account?']","[""<b>A:</b> I'm looking for an apartment. Have you seen any apartments for rent?"", ""<b>B:</b> No, I have not. I'll keep an eye out.""]","['<b>A:</b> Hello, this is Isabel Foster.', '<b>B:</b> Hi, Isabel. Why are you calling? You can just come to my office.']","['<b>A:</b> Why do you have so many full trash bags?', ""<b>B:</b> I had a party last night. I'm cleaning up now and tossing them away.""]"
3X0EMNLXEPPS5XIPBICIQPLO10BVP8,"['<b>A:</b> You have so many portraits on your wall!', ""<b>B:</b> I love displaying all the pictures I've taken.""]","[""<b>A:</b> It's been so long since I've seen you!"", ""<b>B:</b> I know. You haven't changed a bit.""]","[""<b>A:</b> I'm surprised to see you out running."", '<b>B:</b> I want to join the track team next semester.']","['<b>A:</b> This is it. We can move in starting tomorrow.', '<b>B:</b> No way! Really?']","['<b>A:</b> I have never seen you before.', '<b>B:</b> I am a new student.']","['<b>A:</b> How smart are you?', ""<b>B:</b> I don't know. I think I'm average.""]","['<b>A:</b> I hate flying.', '<b>B:</b> So do I.']","['<b>A:</b> Have you gone to vote today?', ""<b>B:</b> I didn't even know there was an election.""]","[""<b>A:</b> I'm sorry to knock on your door at this late hour."", '<b>B:</b> Is there something wrong?']","['<b>A:</b> Is this a clean restaurant?', '<b>B:</b> Well, the tables and chairs look okay.']"
3HRWUH63QU2B4IRXPCHDI2MUOX95NG,"['<b>A:</b> Do you like my new car?', ""<b>B:</b> Yeah, but it's a little plain.""]","['<b>A:</b> Can you help me get up the stairs, please?', '<b>B:</b> Of course. What happened to your leg?']","['<b>A:</b> I would like to purchase the book for Sociology 130.', '<b>B:</b> May I see your student ID?']","['<b>A:</b> Having a new president will change the course of history.', '<b>B:</b> Why do you say that?']","['<b>A:</b> Hey, Mr. Smith. Are you busy?', ""<b>B:</b> Not at all. What's going on?""]","['<b>A:</b> Take out your student ID card.', '<b>B:</b> Why do you need it?']","['<b>A:</b> I think this new place will work out great.', '<b>B:</b> Why do you say that, Dan?']","['<b>A:</b> I have a date with an amazing girl tomorrow.', '<b>B:</b> How did you meet her?']","['<b>A:</b> Is your seatbelt on?', '<b>B:</b> Of course, it is.']","['<b>A:</b> My back is killing me.', '<b>B:</b> What did you do?']"
3KG2UQJ0MJO0X4AV945GGDHLKTVQND,"[""<b>A:</b> I don't get art."", '<b>B:</b> Or artists.']","['<b>A:</b> Mr. Lee, the seller has made a counteroffer on his home.', '<b>B:</b> He did not accept my original offer?']","[""<b>A:</b> Don't pick your nose."", ""<b>B:</b> I wasn't picking my nose.""]","[""<b>A:</b> I'm stuffed."", '<b>B:</b> Of course you are. You ate everything on the table.']","['<b>A:</b> I wish I were a bird.', '<b>B:</b> I think being a cat would be better.']","[""<b>A:</b> I don't have any clean laundry for tomorrow!"", '<b>B:</b> Well, you should do your laundry then.']","['<b>A:</b> I have to go to bed early.', '<b>B:</b> Why? The night is still young!']","['<b>A:</b> Excuse me. May I ask you a question?', '<b>B:</b> Sure. What do you need to know?']","['<b>A:</b> I would like to cash this check.', '<b>B:</b> Did you endorse the check?']","['<b>A:</b> People who live in California are crazy.', '<b>B:</b> Why is that?']"
371QPA24C2OABDVYLL1DOBF51ZPT1M,"['<b>A:</b> I hope this neighborhood is more to your liking.', '<b>B:</b> Yes, it definitely is.']","['<b>A:</b> Hello, I would like to buy a bus pass.', '<b>B:</b> Do you have a card to use for your pass?']","['<b>A:</b> I want to go to the ball game.', '<b>B:</b> Is there a game tonight?']","['<b>A:</b> Mom, can you buy me a laptop?', '<b>B:</b> You are only 13.']","['<b>A:</b> I have a problem.', '<b>B:</b> What is wrong?']","[""<b>A:</b> I'm calling to see if the results of some tests I took are in?"", '<b>B:</b> I can check for you. Can I have your name, please?']","['<b>A:</b> Did you call the manager?', ""<b>B:</b> Yes. He said he'd come over tomorrow.""]","[""<b>A:</b> I'm on a new diet."", '<b>B:</b> What are you eating now?']","[""<b>A:</b> I'm gaining weight."", '<b>B:</b> How much have you gained?']","['<b>A:</b> Can I get you something to drink?', '<b>B:</b> No, thanks. I just finished a whole bottle of water.']"
3WUVMVA7OB32RDHXNWJOL09PQPIAZ8,"[""<b>A:</b> I think you're really pretty."", ""<b>B:</b> Thanks, that's nice of you to say.""]","[""<b>A:</b> I don't know which class to register for."", '<b>B:</b> You should pick the class you need.']","['<b>A:</b> Can I please have a rum and coke?', '<b>B:</b> You are going to have to wait until we take off and are at a cruising altitude.']","['<b>A:</b> I get so hungry during the day!', ""<b>B:</b> That's not good; you should eat more.""]","['<b>A:</b> My house is much too stuffy nowadays.', ""<b>B:</b> It's the hot weather.""]","['<b>A:</b> I would like to have a garden.', '<b>B:</b> Planting a garden is a lot of work.']","['<b>A:</b> I want to make a complaint about the all-day bus tour I took yesterday.', ""<b>B:</b> I'm sorry you have a complaint.""]","['<b>A:</b> We have to babysit this afternoon.', ""<b>B:</b> Why can't we ever go out with mom and dad?""]","['<b>A:</b> Can you please shut up?', '<b>B:</b> Maybe if you ask nicely, I will!']","['<b>A:</b> What are those wipes for?', '<b>B:</b> You use them to wipe the handle of the shopping cart.']"
3P888QFVX3UIFPA7AJ5TV2HQA30QOS,"['<b>A:</b> Have you checked your smoke detectors recently?', ""<b>B:</b> No, I wasn't even aware we had smoke detectors.""]","['<b>A:</b> I think your grading policy is unfair.', '<b>B:</b> I beg your pardon?!']","[""<b>A:</b> What's on TV?"", '<b>B:</b> Nothing much.']","['<b>A:</b> Why are you yawning?', ""<b>B:</b> I'm sleepy.""]","[""<b>A:</b> Let's go out to eat."", '<b>B:</b> That sounds like fun.']","[""<b>A:</b> You're new in town, right?"", '<b>B:</b> Yes, I just moved in last week.']","['<b>A:</b> What can you tell me about the neighborhood?', '<b>B:</b> Only good things.']","[""<b>A:</b> I'm not sleeping here tonight."", ""<b>B:</b> What's the matter? This is a nice room.""]","['<b>A:</b> Where should my hands be on the steering wheel?', '<b>B:</b> Your hands should be on 10 and 2.']","['<b>A:</b> Are you my new neighbor?', ""<b>B:</b> Yes, I am. It's nice to meet you.""]"
3EAWOID6MTXPHGE5UXXSBOKGTS00V7,"['<b>A:</b> Do you have any online accounts?', '<b>B:</b> What is an online account?']","['<b>A:</b> Please have a seat.', '<b>B:</b> Thank you.']","['<b>A:</b> I desperately need to take an English class this semester.', '<b>B:</b> So does everyone else.']","['<b>A:</b> Good afternoon. I want to get a U.S. Passport.', '<b>B:</b> Is this your first passport?']","['<b>A:</b> Do you have any chewing gum?', ""<b>B:</b> I don't have any, sorry.""]","['<b>A:</b> I have overtime next week.', '<b>B:</b> What does that mean?']","[""<b>A:</b> There's something wrong with my orange."", ""<b>B:</b> What's wrong?""]","['<b>A:</b> I am a nurse.', ""<b>B:</b> Why didn't you want to become a doctor?""]","['<b>A:</b> Is it me or does this water taste weird?', '<b>B:</b> It tastes weird.']","['<b>A:</b> I was fired from my part-time job.', '<b>B:</b> Why did you get fired?']"
3YGE63DIN8X2W5EAK72OXQ3U0120WH,"[""<b>A:</b> I want to transfer, but I don't know where to start."", ""<b>B:</b> Let's start with the basics. What do you want to major in?""]","['<b>A:</b> Do you like this house?', ""<b>B:</b> Yes, it's beautiful.""]","['<b>A:</b> That cloud looks just like a horse!', ""<b>B:</b> No, it doesn't; it looks like a cloud!""]","['<b>A:</b> Do you have a car?', '<b>B:</b> Yes, I do.']","['<b>A:</b> Hey, you need to wake up now.', '<b>B:</b> Where am I?']","['<b>A:</b> What happened to your eye?', '<b>B:</b> I was punched in the eye.']","['<b>A:</b> I called HP about my computer.', '<b>B:</b> What did they say?']","['<b>A:</b> Where do you want to go?', '<b>B:</b> How about Santa Anita Mall?']","[""<b>A:</b> Have you decided what you're going to order?"", '<b>B:</b> I think I want to eat a steak today.']","['<b>A:</b> I need some pants.', '<b>B:</b> I thought you just bought a pair.']"
32PT7WK7DMFZ4RDGMZFH70CGWXG3D6,"[""<b>A:</b> I don't like the color of the walls."", ""<b>B:</b> It's a very bright color.""]","['<b>A:</b> Do you smell that?', '<b>B:</b> Oh, yes.']","['<b>A:</b> Computers are so amazing.', '<b>B:</b> I agree! I love the new webcams.']","['<b>A:</b> Would you put suntan lotion on my back, please?', '<b>B:</b> Sure.']","['<b>A:</b> Hello, I wanted to ask you about car insurance prices.', '<b>B:</b> Sure thing. Please, have a seat.']","['<b>A:</b> I have to tell you something.', '<b>B:</b> What is it?']","['<b>A:</b> I always get so emotional at weddings.', '<b>B:</b> Me too, especially when I see the bride and groom kiss.']","['<b>A:</b> I told you not to go into my room!', '<b>B:</b> I was just looking for a pencil.']","['<b>A:</b> There are so many different kinds of berries!', ""<b>B:</b> I can't tell some of them apart.""]","['<b>A:</b> Are you ready to order?', '<b>B:</b> Yes, I think we are, thank you.']"
3HEM8MA6H9C00PM8PJI8K2MGK8WQP9,"['<b>A:</b> I saw what you did.', ""<b>B:</b> I didn't do anything.""]","['<b>A:</b> Mom, I want a puppy.', '<b>B:</b> Let me think about it.']","['<b>A:</b> Excuse me. Can you give me a minute of your time?', ""<b>B:</b> Sure, I don't see why not.""]","['<b>A:</b> I need to stop payment on a check that I wrote.', '<b>B:</b> Do you have a copy of the check you wrote?']","['<b>A:</b> I need a cheap car.', '<b>B:</b> How much money do you have?']","['<b>A:</b> At what time does the Montebello bus leave?', '<b>B:</b> It leaves every ten minutes.']","['<b>A:</b> Would you like to go on a blind date?', '<b>B:</b> You must be joking.']","[""<b>A:</b> Hello. I'm new to the apartments. I have a question."", '<b>B:</b> Hello, and welcome. What do you need to know?']","['<b>A:</b> A button came off my shirt.', '<b>B:</b> What are you going to do?']","['<b>A:</b> I see that former President Bush is at a conference.', ""<b>B:</b> Yes. He's telling jokes about his eight years as president.""]"
3MJ28H2Y1E8TM3R9QRHQXRMZE7E5OV,"[""<b>A:</b> I'm thinking of moving to Texas."", '<b>B:</b> Why? You love California.']","['<b>A:</b> This is a weird looking golf club.', ""<b>B:</b> That's not a golf club.""]","['<b>A:</b> Excuse me, sir. Care to help me?', '<b>B:</b> What can I do for you?']","[""<b>A:</b> I'm trying to stretch my dollars."", '<b>B:</b> How are you doing that?']","['<b>A:</b> Good Morning! EDD, how can I help you?', '<b>B:</b> Hello, I recently lost my job. Can I file for unemployment?']","[""<b>A:</b> Don't ride your bike unless you're wearing a helmet!"", ""<b>B:</b> I don't like helmets. They mess up my hair!""]","['<b>A:</b> Miss, you have been using the computer for over an hour now.', ""<b>B:</b> I know, I'm sorry.""]","['<b>A:</b> I am doing poorly in my history class.', '<b>B:</b> What is your grade?']","[""<b>A:</b> Hi, I'm calling from room 117, and there is a big problem."", ""<b>B:</b> I'm so sorry. What seems to be the issue?""]","['<b>A:</b> I am so sick of dining hall food.', ""<b>B:</b> Me too! It's so unhealthy.""]"
34YWR3PJ28AHL5J0UCYAZ9H19380XA,"[""<b>A:</b> I'm thinking of adding another class."", '<b>B:</b> Another one? You already have 7 classes.']","['<b>A:</b> What are you doing?', ""<b>B:</b> I'm going to change the light bulb. It burnt out.""]","['<b>A:</b> My pen is out of ink.', '<b>B:</b> Shake it a couple of times.']","['<b>A:</b> What do you need for school?', '<b>B:</b> I need pencils.']","['<b>A:</b> Hello, is this the Smith residence?', '<b>A:</b> Sarah! Hurry up and get out of bed!']","['<b>A:</b> Why are you driving so fast?', '<b>B:</b> I have to be at work on time.']","[""<b>A:</b> Don't you ever cheat on me."", '<b>B:</b> Why would I do that?']","['<b>A:</b> Did you see the woman with the new face?', '<b>B:</b> Did she get a nice job?']","['<b>A:</b> I wish I was a cheerleader.', '<b>B:</b> Why do you want to be one?']","[""<b>A:</b> I don't recognize any of these streets."", '<b>B:</b> Is this your first time riding this bus?']"
306W7JMRYYYSQRL2KKJ73RWR9YW8BW,"['<b>A:</b> Why are some apples green and others red?', ""<b>B:</b> Won't the green ones turn red later?""]","['<b>A:</b> Did you bring the pie chart for our presentation?', ""<b>B:</b> You're going to be mad.""]","['<b>A:</b> Do you have a chainsaw?', '<b>B:</b> Yes, but why do you need it?']","['<b>A:</b> My husband died.', ""<b>B:</b> I'm sorry for you.""]","[""<b>A:</b> I'm upset with my mom."", '<b>B:</b> Why is that?']","['<b>A:</b> This is it. We can move in starting tomorrow.', '<b>B:</b> No way! Really?']","['<b>A:</b> Did you put the blue bin out on the street?', '<b>B:</b> Oh, no. I forgot.']","[""<b>A:</b> You really shouldn't wear all that bling when we go sightseeing today."", '<b>B:</b> Why are you such a scared cat?']","[""<b>A:</b> I am really looking forward to David's party."", ""<b>B:</b> Me, too. I've been excited all week!""]","['<b>A:</b> Can I borrow $5?', '<b>B:</b> Sure. Why do you need it?']"
