WorkerID,AssignmentID,Prompt1.0,Prompt2.0,Prompt3.0,Prompt4.0,Prompt5.0,Prompt6.0,Prompt7.0,Prompt8.0,Prompt9.0,Prompt10.0,Median,Size
A2UETIA0LL3F48,['3QHK8ZVMIMIPRI2E4BXCWGEMG7ZBL6'],2,3,3,3,2,3,3,3,3,3,3.0,1
A2P4ZXMWYVCAWB,"['3XCC1ODXDLBNYMZGSDRYDHIK80DQRD', '34PGFRQONOBBKVCPWHHV3FEFMK1JWJ']",5.0,5.0,5.0,5.0,3.5,5.0,5.0,5.0,5.0,5.0,5.0,2
A3S9E79CGG0H4D,['31UV0MXWNQCLC1DZIY9M1EM2P89I5Q'],2,3,2,3,3,3,3,3,2,2,3.0,1
A1MC4JNAU3Q1GY,"['3I7DHKZYGN012AB9HQ31YH9A9GT5FY', '3F6KKYWMNB18UF3JUK4X4Y6BOPVNDF', '3STRJBFXOWRE3YEDJXCWHA7TXGFKTR', '3KOPY89HM82ETXA1MX6TYI3IOR7J3D']",4.25,4.5,4.25,3.5,4.25,4.25,3.5,3.5,4.25,4.25,4.25,4
A31EI07AMHO3MA,"['38BQUHLA9W0TGU988S3D2DTANC1OMK', '3LWJHTCVCCMQVWU71IR4WS415BRQF5', '3J2UYBXQQLC6OAWXJRULNG06Z9406U']",5.0,4.666666666666667,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3
A3OP9SCMH0KPJL,"['37UQDCYH6XV5LBBI5YN2ENQSOGG7V7', '3ERET4BTVM9VJJ5ZLR7FQA6H38RK94']",3.5,3.0,5.0,3.5,5.0,4.5,4.0,3.5,3.5,2.5,3.5,2
A3A7JCGHWN2I36,['32AT8R96GL9RRU6AOBB8DSK5XO7SUF'],2,2,2,2,2,2,2,2,2,2,2.0,1
A3F7G1FSFWQPLE,['326O153BMIY409Q61L1EEBC2AWREDC'],2,2,4,2,2,2,3,4,2,2,2.0,1
A2WVY1WO8EBV8V,"['39KFRKBFINVTABYMRVROW8GHWOBOYA', '3XLBSAQ9Z4CMUVGS6VC5ZT3OCSOZ73', '31UV0MXWNQCLC1DZIY9M1EM2P9R5IX', '3GS6S824SQX73L3ABF9NWMVWV5MWNI', '339ANSOTR52OUKY2PLDS335KMZNKIY', '3OXV7EAXLEQ252VU2EC4PEYD2M636C', '3WYGZ5XF3WFDOY1YUX7675B7VX5SKE']",2.142857142857143,2.5714285714285716,2.5714285714285716,2.5714285714285716,2.2857142857142856,2.4285714285714284,2.0,2.142857142857143,2.142857142857143,2.0,2.2142857142857144,7
AL7UTA8J27TFK,['3WLEIWSYHOHTH9JSUXP33VIB5NEH2A'],5,5,5,5,5,5,5,5,5,5,5.0,1
APF1EAZT104LQ,"['33PPO7FECVFGGESSX4R5ZQAU2SGDI8', '3NLZY2D53PPCVO43NTU2R59L27ZLQR', '3IJXV6UZ1XJAHOBXF5MP4FRYHP7RIK', '3570Y55XZPJ5IYHO3CEGRZ7F5ZUYG1', '33LKR6A5KEKCXXSRBN6ECVBUO8TT17', '3EJJQNKU9R5ALT0D9N4443QJHCSRHR', '39OWYR0EPKRZ4YLTSS8Y9E734KUYF2', '3P1L2B7AD1P9ACRN8G2Y20ELN6HOLM', '388U7OUMF71ZATUHBFXJYBR2VVR0RZ']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9
AQS3LUWLIDCH5,"['32Q90QCQ1SLCEFWGT2N1IO7SU6AEKD', '3F6KKYWMNB18UF3JUK4X4Y6BOPHDNR', '37ZHEEHM6WML929ZLOHWVSY9XXA73Z']",4.666666666666667,4.666666666666667,5.0,4.333333333333333,4.666666666666667,4.333333333333333,4.666666666666667,4.0,3.6666666666666665,3.6666666666666665,4.5,3
AFIB5BRZVGGCT,['3Y5140Z9DXGP5BVI2DI0ZKRJG9SIPW'],5,5,5,5,5,5,5,5,5,5,5.0,1
A2OV56TYBRLYNA,['3JV9LGBJWTETOKDMXP5IP89DRPVOGG'],2,2,2,2,2,2,2,2,2,2,2.0,1
A1P06VR3V0T998,['3QUO65DNQUOCT2EHHUUZTNA40Y4OUC'],2,2,2,2,2,2,2,2,2,2,2.0,1
A1CLRB2BJLIHMK,['3DIP6YHAPCSSJEUFKDQYSJY1Z4OE8Y'],2,3,3,2,3,2,3,2,3,2,2.5,1
AJ7MWBQFNH3E4,"['3AAPLD8UCCHN18D5DC9Z4IR15Y6THP', '3DIP6YHAPCSSJEUFKDQYSJY1Z5T8EZ', '3SLE99ER0ND9W7JIJCOL4VPKVJ8ZBK']",2.0,2.0,2.0,3.0,2.3333333333333335,2.3333333333333335,2.0,2.0,2.0,2.0,2.0,3
A3P1MSKTD4R297,"['3OWEPKL089CSD629371B46WF2D9N71', '3OVHNO1VE612B4H2X8FRZLDKY2JZDM']",2.5,3.5,4.5,3.5,4.5,3.0,3.5,3.5,4.0,3.5,3.5,2
A260POHT3YB1L0,"['3R6BYFZZP7CA4TVJNWMWQ00U2FLXFI', '3HHRAGRYX85E9AQEJJZ8XRNQNDJ9OV']",2.5,3.0,3.0,3.0,3.0,3.5,2.5,3.0,2.5,3.0,3.0,2
A105GUJGUWPA0K,['3NPFYT4IZC4GITREYGSE8L063UPGX4'],2,3,2,2,2,2,2,2,2,3,2.0,1
AHQ4XY8PP5EGS,"['3B3WTRP3DB202319WL1BQEKNM86928', '3MYYFCXHJ37PKR34E5Q9BA38AZY4GR', '3X31TUMD7XMOEKKM2E4NQ41DUYB1LM', '3ATTHHXXWAOUEKX9O4SHTXDMI7XXIT', '35L9RVQFCOI21LSUDHZ99ED3OCRHUI', '3KV0LJBBH2LWD71O0KKHW8YFYZJRMU', '3J2UYBXQQLC6OAWXJRULNG06ZA2600', '37FMASSAYCRN1HU8J80Z40MUZ4BBI0', '3MRNMEIQW56I6F0YI7OIR62MJUVDL3', '31QTRG6Q2TDBVBAN6V43L8L76S9PYS']",4.4,4.5,4.8,4.7,4.7,4.4,4.8,4.6,4.7,4.7,4.7,10
A2LLCKZ1G0JG5E,"['3ZV9H2YQQD70ZHA0TWP8N8XQQM1W34', '3A7Y0R2P2OOQ9VHF6MDH5YSMVLMJXP', '3GDTJDAPVUBQV2MS1BEH5R3A863M8J', '3M23Y66PO276PJG9STD5XM6PU08S6S']",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4
A3VP27UUQ34OXK,"['3DL65MZB8DFUVHKS1P63U5UKPWOECL', '3WQQ9FUS6AUUCBIVAMO8RBSGW8R8BA']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A2B7P6AGJ2J4FH,"['37UEWGM5HT8ZHIFZ7Y1JCGAC0PJ1RT', '36NEMU28XFD1L3IAZEUNJ76WQFUMWQ', '3BDCF01OGXUL4QVPE3BW4RCN1HKLY0', '323Q6SJS8IGDI3V4IS4ANEC0EPJHFQ', '3KKG4CDWKIYA5HGW0ZKZJTHL6NP49O']",2.0,3.2,2.6,2.2,2.6,2.4,2.4,2.6,2.6,2.4,2.5,5
A1D4IFLUF2FU97,['3G2UL9A02DEK6LWH4QFU2VAT7O576Y'],3,4,5,5,4,2,5,5,4,5,4.5,1
A1L3XBD6D9A54J,"['3YZ8UPK3VTMBKDHERPL8YNGNBMPCUB', '3QAPZX2QN4DI69DWWPIIX3JUJ5F20U']",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2
AJTPDPN27UCUS,"['35LDD5557A4AQ3OTA0BKVWC139CKML', '3AQF3RZ558IXLEBNM9D6QNNA5BMF66', '3PZDLQMM0TL2018C85B2S4LVSTR2C0']",2.3333333333333335,2.6666666666666665,2.0,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.3333333333333335,3
A2FPJM7I9VHXPT,"['3U8YCDAGXPGZYSFHY08JTLHXZ9R0Q0', '352YTHGROVD3KNYFYB8RWAF9PY9H4Z']",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,3.0,4.0,2
A2U6Y560JU2CF1,['3DPNQGW4LLFNNYEY2SHNZJQJGLK46E'],5,5,5,5,5,5,5,5,5,5,5.0,1
AKAAWFD8N7N53,"['3CP1TO84PT1H1GZXTVOUEYFL0CH254', '304SM51WA34CVVX4OKUD82SH827SB3']",4.0,4.0,3.0,2.5,4.0,3.5,4.0,4.0,2.5,4.0,4.0,2
A1JJYY622DGE5L,['345LHZDEDXSN7DLVYWA75KCT56GU3T'],3,4,5,3,3,3,2,3,3,4,3.0,1
A2QIU9DSW6EOW5,"['3ATPCQ38J8A4874LHCM6VDWC758AYU', '3QUO65DNQUOCT2EHHUUZTNA40YGUOU']",4.0,2.5,2.5,3.0,2.5,3.5,2.0,2.0,3.0,3.0,2.75,2
A1SI6SC9G647U,['3WT783CTPBHWOE88RY4DTXOZMZFBCM'],2,2,2,2,2,2,2,2,2,2,2.0,1
A394JO4NEPCY3M,"['3SPJ0334213F907PBIZJOCZVXTXJYG', '3IAS3U3I0FGJQWG6U5F7HKFDA942B8', '32RIADZISS4SAWCV95KQ0OMBYA2S49', '3K3R2QNK8B39MFABF5BHWXFF50V9UY', '3UN61F00HWPY50GI8L3VF6NTC4AR5L', '3HYA4D452RJ93DSMZ7130A6YP772F1', '3C44YUNSI1P8X0FWAZHP8NB6O4WPDD', '3Y4W8Q93LZKL2KCSWBQOEF0OASJDV8', '3YMU66OBIN8JW3RZTCAS5ZCCF53GHA']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9
AWBH8AHN105F6,"['3V5Q80FXIXREN1CTFC01Z1H1MFW32J', '3Z7EFSHGN9E31HB9WUWVIUFR53DCX8']",2.0,2.5,2.0,2.5,2.5,2.0,2.5,2.0,2.0,2.5,2.25,2
A3ILNJMBARBMU,['3KGTPGBS6XLYMVPCUWW2MA71ZSQ2U0'],3,2,2,2,3,3,5,3,3,3,3.0,1
A8E99XNOTT390,['3VP0C6EFSGW3RO348WHJLD7J2CE6MK'],5,5,5,5,5,5,5,5,5,5,5.0,1
A3BH0Z9NRT9XRN,"['374TNBHA8BVWVNB268JSLDBHBN4QYR', '3L4PIM1GQTGW7OQ2JN8SQ3LM799RYW']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A3K8RMYHHGISUI,['336KAV9KYQSF349H4XTRPVDEVG32Y0'],5,5,5,5,5,5,5,5,5,5,5.0,1
A2WCCV1W8UE8ED,"['3WSELTNVR328RL5R76Z7NW4XS30ATF', '3FTYUGLFSUL44QXDQK8BAH6PX3ID50', '3VELCLL3GKJ2ESAQG31PVRWTX0EF1G']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3
A37SLQRKOALNV6,['35K3O9HUABD1YT42SRW42BFNMAXFEG'],4,3,3,4,3,3,3,4,3,3,3.0,1
A1RQUOVV8PCXBM,"['36WLNQG78ZABLCSMNPA8JLO27BFEB5', '3QAPZX2QN4DI69DWWPIIX3JUJ3O02X']",2.5,3.0,3.5,3.0,3.5,4.0,4.0,3.5,3.0,3.0,3.25,2
A2SULQE4M8C3CM,['3DYGAII7PL82M9J1FLN98MI57IKQPG'],5,5,5,5,5,5,5,5,5,5,5.0,1
A3CF3E5AG7LA05,['3D3VGR7TA0FVRLTEU2F209P9Y8IR3U'],5,5,5,4,5,5,5,5,4,5,5.0,1
A3QUWIT972BYUH,['3OE22WJIGIOFEERXW7M3IS54FZ0UQ4'],2,2,2,2,2,2,2,2,2,3,2.0,1
A3T7NH4Q0SQQJ6,['3C6FJU71TQTONGIJNH3XVE86E9FYUB'],4,2,5,5,2,2,2,4,5,2,3.0,1
A1PYMROZ75S4FW,"['30BUDKLTXDV9WWBDMFJVGZOAXHE5EK', '3X3OR7WPZZ06PK471ZD25EOL83IL8P', '3F1567XTNW5HUM3UYWRCMWIQ2GG9QM', '3S3AMIZX3U5P3B6S5UVJONCZPLMCDR', '3VBEN272MKZ8MC5F46MR9DJEOGZSGM']",3.4,2.8,3.2,3.2,3.0,2.6,3.0,2.4,3.0,4.0,3.0,5
A2UF2FRGVW4T89,['3NVC2EB65QZ4OM508X7W85I61UPY3T'],2,2,2,2,2,2,2,2,2,2,2.0,1
A3QYTYZ55E3S0V,"['34J10VATJFYA5NWX2QXPZPHTL4EIQL', '3KWTYT08703N22L5316ZTUEU6D85LY']",2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
AIHCZOO4BTPTJ,"['3S3AMIZX3U5P3B6S5UVJONCZPL4CD9', '3MRNMEIQW56I6F0YI7OIR62MJUILDY']",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2
A9VK6DKXQWNVB,['386CSBG1OZMUC31W0PO02MROCCIQ6W'],2,2,2,2,2,2,2,2,2,2,2.0,1
A1EL3FI6DJV5WR,['37Q970SNZE8BIXFCMN1O2QF8MRWS12'],4,4,3,3,4,3,4,3,3,3,3.0,1
A3PCPPILTDYR1P,['3VA45EW49NNWK5NJF6KFIL57P0D1OU'],3,3,4,3,3,4,4,3,3,4,3.0,1
A3DZEICLZNLJVK,"['3HFNH7HEMHEW9WQ2C2XMED4D6S0GQ7', '31LM9EDVOLSLX13B4GQ87W1OT9XJNU', '3GLB5JMZFXV2KNMX7GR2EEXENEMGDF', '3FTYUGLFSUL44QXDQK8BAH6PX5C5DQ']",4.5,4.5,5.0,4.5,4.25,4.25,4.5,4.5,4.5,4.75,4.5,4
A2VNK2H6USLQTK,['3KKG4CDWKIYA5HGW0ZKZJTHL6MP49M'],5,5,5,5,5,5,5,5,5,5,5.0,1
A1SMYB7YESWB29,['3U5NZHP4LR2P9GKYWV0FZ8Q4GVAHPX'],2,2,2,2,2,2,2,2,2,2,2.0,1
A2WAIHLYP5O3XY,['3IO1LGZLK9XO6Z10EV70GV6OI8V866'],2,3,2,2,2,3,2,2,2,2,2.0,1
A5SPTV3W3DP4B,"['3MMN5BL1WZ44U5GMPUJLEAVZSNZ3M2', '3VHP9MDGRNKM1VKOW0Q9CNFK1XRCFP', '3KAKFY4PGU2IYMQV4FLTMHOIBD63IB', '33CUSNVVNNCBADKO7A4Y092FO2788C']",4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,3.75,4.5,4.5,4
A3IQ9V1JSB2RJO,"['31Q0U3WYDPFPZZVKYK3D7ZJCZBC71J', '3PXX5PX6LXY8VZBA7K8MN2YBMV4BAS', '3L6L49WXW0XR4UEKX97I7DCJKPJ547']",2.6666666666666665,3.3333333333333335,3.0,2.6666666666666665,3.3333333333333335,3.3333333333333335,2.6666666666666665,3.3333333333333335,2.6666666666666665,3.0,3.0,3
A349MJE9ITJHV9,['34S9DKFK73PBSQYAQGRBHJGC6BGYN9'],2,2,2,2,2,2,2,2,2,3,2.0,1
A3R9AQFDIBMT2Q,['3Z4XG4ZF48R1PELWFIGQG8J8FAY8X0'],2,3,3,2,2,3,2,2,2,2,2.0,1
A2VX8PH465EMTZ,['3VNL7UK1XFJ3NCMZIMLZ1XFOPIETFA'],5,4,3,4,4,4,4,5,4,4,4.0,1
A2BQ5SX50WYNUT,"['3QY5DC2MXRKINP1OIRB96T1Q8XBUFU', '3OSWBBLG1EXD69HNWQR620X9Q2CXDE']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A11IKOH66UKKBP,['35BLDD71I6XO5LHOOTFL57JRY8QZVM'],2,3,2,2,2,2,2,2,2,2,2.0,1
A3B2B558PP0BIL,['30JNVC0OR9KA9SLDW8F4ZDGELSCQHF'],5,5,5,5,5,5,5,5,5,5,5.0,1
A2R2YZTSME1K3F,['3Y9N9SS8LYB1QBA9C1KIVK85J6L3DS'],2,2,2,2,2,2,2,2,2,2,2.0,1
A1WRNCU7LFNGRV,"['37C0GNLMHF30NUXRV3IG2NKPTXO6D2', '3RKNTXVS3MYOA0Q1S5YZFOS5C3N4AF', '3BV8HQ2ZZW12PNUFBTRECMCJ8UYA6B']",2.3333333333333335,2.3333333333333335,2.0,2.0,2.3333333333333335,2.0,2.0,2.6666666666666665,2.3333333333333335,2.0,2.166666666666667,3
AJ11ZVNAOR4QW,['37XITHEISW9J4LPXNVQ3TCT34N0CRM'],4,4,4,4,4,4,4,4,3,4,4.0,1
A314XJY8V1YL12,['36ZN444YTRY7KBJHND5LAKMT62OIO3'],5,5,3,4,5,4,3,5,5,5,5.0,1
A22UUVL27L2WU1,['379J5II41OGNYLEYE2Z2XOK7J4BLEF'],2,2,2,2,2,2,2,2,2,2,2.0,1
AX3KE4IEX9GZK,['3I3WADAZ9Q4V8NO2GTMRLBIO1GJO50'],5,5,5,5,5,5,5,5,5,5,5.0,1
A3GIUQWKV7LC0Q,['3L6L49WXW0XR4UEKX97I7DCJKQM45B'],2,5,2,2,2,2,2,2,2,2,2.0,1
AUMCN6PZOOVT,['36U2A8VAG1ZAKKD7T3ZVPRZ8CGBYK4'],5,5,5,5,5,5,5,5,5,5,5.0,1
A2IVGLOBFOT67M,['3C44YUNSI1P8X0FWAZHP8NB6O2BDPC'],2,2,2,2,2,2,2,2,2,2,2.0,1
APMHXF1RYNL1,"['3FE2ERCCZX8Z1X6L08V5JHN5SGJOPL', '3IAEQB9FMEKYH9CXMLVK0HJ2HZGDW9']",2.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
A3C81THYYSBGVD,['3K5TEWLKGVB2AVSEOPRZ5CG12XEVIF'],2,2,2,2,2,2,2,2,2,2,2.0,1
A1XWUPXVNPMU0H,"['3IAEQB9FMEKYH9CXMLVK0HJ2H0IDWD', '3180JW2OT4CH7CX50GUMDF122N95J0']",3.0,3.0,3.0,2.5,2.5,3.5,3.0,3.5,2.5,3.0,3.0,2
AYT6G75JNE3OH,['382M9COHEHFQHB1SNGR3OBGQWV7EU5'],5,4,5,5,5,5,5,5,5,5,5.0,1
A1UK8S8R5QYL6D,['378XPAWRUCDII7PGDU039P2OHLWIAG'],3,4,4,4,4,3,2,4,2,4,4.0,1
A2J8UU79144B7F,['3180JW2OT4CH7CX50GUMDF122NP5JG'],2,3,3,2,2,3,2,2,2,2,2.0,1
A3PY52ERZ3DNJY,"['3NOKK93PR189SF46XGCYKTUNA8TEE6', '37TRT2X24QRJWSEE1QLZG11UCJ9JBT', '34S6N1K2ZVJZIV504378IRHKBL6HLW']",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3
A3394SNGRL8D4C,"['3WS1NTTKEYC273P8KKXPHMDJS8FF0K', '35GMH2SV3EHV46HVRUFUP5O1EB5OES']",3.0,2.5,2.0,2.0,3.0,2.0,2.5,2.5,2.5,2.0,2.5,2
AYYBMS4XQJ9AP,['3X3OR7WPZZ06PK471ZD25EOL81DL8G'],2,2,2,2,2,2,2,2,2,2,2.0,1
A15XX0WDRG29E7,['3OS4RQUCR9F3RQSII0UE1392JBCBF0'],2,2,2,2,2,2,2,2,2,2,2.0,1
A34QZDSTKZ3JO9,['3OVR4I9USPJGXGXIH1VL5O7AGL94QM'],2,2,2,2,2,2,2,2,2,2,2.0,1
A3DCOLZ9ZS6115,['3LRLIPTPEQ99O2F4DXLFM5H19PFAKD'],3,3,3,3,3,3,2,3,3,3,3.0,1
A1CO4EINRZCSSK,['3R3YRB5GRF3NRYKG7BPHSSQZBHJAUI'],5,5,5,5,5,5,5,5,5,5,5.0,1
A2TRHMYD2VZH5,['3XC1O3LBOSMPN4WV4XOXWAK8ME0LT7'],2,2,2,2,2,2,2,2,2,2,2.0,1
A1WU3W1JZ58D1U,"['32UTUBMZ7GWSNNE8IFZIJPCO76PVBZ', '3CFJTT4SXTQ0Z5RI6ROJZY0YGE4I75']",2.5,2.5,3.0,3.5,2.5,2.0,3.0,2.5,3.0,3.0,2.75,2
A14QGS6XH65BGQ,['324G5B4FB38PSAA221ZDTU02ULE70S'],5,5,5,5,5,5,5,5,5,5,5.0,1
A3MR4NQ3RHAMWF,['304SM51WA34CVVX4OKUD82SH824BSJ'],2,2,2,2,2,2,2,2,2,2,2.0,1
A2HRRTRJQZTY9I,['3V0Z7YWSIY0YZAECZM67IW9KD0OV29'],3,3,2,2,5,3,5,4,4,3,3.0,1
AGAZHO3EER6J0,['34S9DKFK73PBSQYAQGRBHJGC6DNYNK'],5,5,5,5,5,5,5,5,5,5,5.0,1
A2QATU2MVDEGUS,"['31Z0PCVWUKFQ8J7T03NND527RUTT74', '3KJYX6QCM9BY56CK67CZHDV1FAHVJ1']",2.5,3.0,2.5,2.0,2.5,2.0,2.0,2.5,2.0,2.0,2.25,2
A2ZUF7MDIMBONJ,['3LRKMWOKB5HF8UJM0JVA32MG1CG2Z4'],5,5,5,5,5,5,5,5,5,5,5.0,1
A13WYZ8AXD6ODX,['3EKVH9QMEY4C5TEQ816DCA3DDU8D2I'],2,2,2,2,2,2,2,2,2,2,2.0,1
A3U3GG3ULNW724,['3ZPPDN2SLVWSXJDPP5WCSFTCJAV9E7'],2,2,2,2,2,2,2,2,2,2,2.0,1
A3Q9EVT6JBTZA4,['3BWI6RSP7G9OJ0PWA8YSEJ26OLQE7L'],2,2,2,2,2,2,2,2,2,2,2.0,1
A2YTGHCG4PJKYW,['3VW04L3ZLT6R4FM4NQSIW7016KQXXI'],2,2,2,2,2,2,2,2,2,2,2.0,1
A1IEAOCJNSPVRX,['3LOTDFNYA7ZVFTQTDRQAOHMNTDRFWJ'],2,2,2,2,2,2,2,2,2,2,2.0,1
A1K5ILJMG439M5,"['32KTQ2V7RDFQ975263KV5NYLSER9M5', '3Z4XG4ZF48R1PELWFIGQG8J8FBK8XO']",2.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.0,2.0,3.5,2
A3CXEKU58ZTK9Y,['33C7UALJVLYTZD038PVJLZF7AV918R'],2,3,2,2,4,2,2,2,2,2,2.0,1
A2KVQPT7NF65QS,['3OHYZ19UGC5SET0JBPD8TMYATUMAOU'],2,2,2,2,2,2,3,2,2,2,2.0,1
A524WZ3LA2L2K,['3MHW492WW0DO6EI594PRX5NIJ5WVMR'],2,2,2,2,2,2,2,2,2,2,2.0,1
AHPOOKYE7V04D,['324G5B4FB38PSAA221ZDTU02UJX707'],2,2,2,2,2,2,2,2,2,2,2.0,1
A3SHFOPG16PGNX,['3NS0A6KXC485NORTZYGZ56GHBUNZGK'],2,4,2,3,2,2,2,2,2,2,2.0,1
A2XY6KDQKMSL9D,['3KKG4CDWKIYA5HGW0ZKZJTHL6M6493'],2,2,2,2,2,2,2,2,2,2,2.0,1
A3MG9U0TT7WGYR,['3SITXWYCNV9KRCJ3IU007A99NH3BXO'],5,5,5,5,5,5,5,5,5,5,5.0,1
ACSAMXVDH047Z,['3KRVW3HTZNL8EM11F9KMMI3BK1FMSQ'],2,2,2,2,2,2,2,2,2,2,2.0,1
A3CBQ1VIB80UBF,['38YMOXR4MUZZW0XICYN6UB9A0D4W6B'],5,5,5,5,5,5,5,5,5,5,5.0,1
A24N0H9T5YFLP7,['33CUSNVVNNCBADKO7A4Y092FO2K88P'],2,2,2,2,2,2,2,2,2,2,2.0,1
A2KAGFQU28JY43,['37TD41K0AH9V50PA2KQ8JMYZQNCCSZ'],2,4,4,2,2,2,3,2,2,2,2.0,1
